branch,month,month_num,sales,mean_sales,median_sales,std_sales,robust_zscore,zscore,mom_pct,anomaly_flag,anomaly_reason
Stories Mansourieh,October,10,5978077.49,2250047.65,96702.71,2669125.26,41.023,1.397,2.83,1,robust_z
Stories Mansourieh,August,8,5928212.63,2250047.65,96702.71,2669125.26,40.675,1.378,2965.17,1,robust_z
Stories Mansourieh,September,9,5813335.75,2250047.65,96702.71,2669125.26,39.873,1.335,-1.94,1,robust_z
Stories Mansourieh,November,11,4888906.92,2250047.65,96702.71,2669125.26,33.426,0.989,-18.22,1,robust_z
Stories Mansourieh,December,12,4198633.64,2250047.65,96702.71,2669125.26,28.611,0.73,-14.12,1,robust_z
Stories Le Mall,June,6,967783.33,3905876.38,4092973.89,1187671.13,-6.426,-2.474,-55.28,1,robust_z
Stories Bayada,June,6,1208190.0,4386961.54,4752864.27,1212894.31,-5.223,-2.621,-60.3,1,robust_z
Stories Zalka,June,6,2504900.0,8997432.86,9829054.96,2339742.74,-5.032,-2.775,-61.07,1,robust_z
Stories Ain El Mreisseh,June,6,2883403.33,9967738.5,10223378.57,2623565.47,-4.456,-2.7,-60.0,1,robust_z
Stories Le Mall,May,5,2163876.67,3905876.38,4092973.89,1187671.13,-3.967,-1.467,-51.14,1,robust_z
Stories Khaldeh,June,6,2262395.0,7012967.67,7111228.85,2094655.92,-3.735,-2.268,-49.58,1,robust_z
Stories Bir Hasan,June,6,744638.33,2863102.02,2989907.82,814063.25,-3.624,-2.602,-64.96,1,robust_z
Stories Unknown,April,4,3555273.33,1158821.95,611845.0,1239579.77,3.245,1.933,49.05,1,robust_z
Stories Airport,October,10,8414672.7,3285689.8,1474215.92,3502265.86,3.175,1.464,12.69,1,robust_z
Stories Batroun,June,6,1311240.0,4506122.04,4631211.94,1400870.73,-3.158,-2.281,-55.76,1,robust_z
Stories Antelias,June,6,728978.33,2552435.74,2665503.59,687212.85,-2.815,-2.653,-64.15,1,robust_z
Stories Le Mall,August,8,5452825.84,3905876.38,4092973.89,1187671.13,2.796,1.303,9.35,1,robust_z
Stories Airport,September,9,7467197.62,3285689.8,1474215.92,3502265.86,2.742,1.194,7.23,1,robust_z
Stories Khaldeh,August,8,10661995.53,7012967.67,7111228.85,2094655.92,2.735,1.742,12.65,1,robust_z
Stories Airport,November,11,7029720.14,3285689.8,1474215.92,3502265.86,2.542,1.069,-16.46,1,robust_z
Stories Bayada,May,5,3043400.0,4386961.54,4752864.27,1212894.31,-2.519,-1.108,-41.44,1,robust_z
Stories Airport,August,8,6963426.45,3285689.8,1474215.92,3502265.86,2.511,1.05,136.85,1,robust_z
Stories Aley,August,8,8565845.07,2541352.14,1869740.25,2793470.78,2.416,2.157,103.01,1,std_z
Stories Zalka,May,5,6433973.33,8997432.86,9829054.96,2339742.74,-2.333,-1.096,-42.46,1,mom_spike
Stories Centro Mall,June,6,924383.33,3128476.49,3248535.44,966889.09,-2.179,-2.28,-52.72,1,std_z
Stories Khaldeh,May,5,4487117.67,7012967.67,7111228.85,2094655.92,-2.021,-1.206,-46.93,1,mom_spike
Stories Saida,June,6,1323360.0,4583857.48,4465001.29,1576019.51,-1.859,-2.069,-56.05,1,std_z
Stories Le Mall,July,7,4986426.44,3905876.38,4092973.89,1187671.13,1.837,0.91,415.24,1,mom_spike
Stories Ain El Mreisseh,May,5,7208975.0,9967738.5,10223378.57,2623565.47,-1.83,-1.052,-44.66,1,mom_spike
Stories Ramlet El Bayda,June,6,1445760.0,4673724.16,5904160.08,2457615.2,-1.83,-1.313,-59.19,1,mom_spike
Stories Khaldeh,July,7,9464291.92,7012967.67,7111228.85,2094655.92,1.812,1.17,318.33,1,mom_spike
Stories Batroun,May,5,2963980.33,4506122.04,4631211.94,1400870.73,-1.586,-1.101,-46.27,1,mom_spike
Stories Verdun,July,7,3417793.41,2094699.57,1926558.6,903225.59,1.583,1.465,659.94,1,mom_spike
Stories Verdun,June,6,449746.67,2094699.57,1926558.6,903225.59,-1.568,-1.821,-62.37,1,mom_spike
Stories Unknown,May,5,2024430.0,1158821.95,611845.0,1239579.77,1.557,0.698,-43.06,1,mom_spike
Stories Batroun,July,7,6135003.02,4506122.04,4631211.94,1400870.73,1.43,1.163,367.88,1,mom_spike
Stories Bir Hasan,July,7,3799740.25,2863102.02,2989907.82,814063.25,1.307,1.151,410.28,1,mom_spike
Stories Faqra,April,4,2298003.33,914782.79,795851.35,831464.08,1.273,1.664,55.3,1,mom_spike
Stories Centro Mall,May,5,1955286.67,3128476.49,3248535.44,966889.09,-1.213,-1.213,-50.34,1,mom_spike
Stories Lau,June,6,398961.67,1336974.4,1288268.79,576108.35,-1.076,-1.628,-66.94,1,mom_spike
Stories Bayada,July,7,5448609.92,4386961.54,4752864.27,1212894.31,1.025,0.875,350.97,1,mom_spike
Stories Ain El Mreisseh,July,7,11889329.16,9967738.5,10223378.57,2623565.47,1.011,0.732,312.34,1,mom_spike
Stories Ramlet El Bayda,May,5,3542743.33,4673724.16,5904160.08,2457615.2,-0.969,-0.46,-41.07,1,mom_spike
Stories Ramlet El Bayda,March,3,3588563.33,4673724.16,5904160.08,2457615.2,-0.95,-0.442,128.45,1,mom_spike
Stories Antelias,May,5,2033635.67,2552435.74,2665503.59,687212.85,-0.919,-0.755,-40.04,1,mom_spike
Stories Centro Mall,July,7,4201339.95,3128476.49,3248535.44,966889.09,0.893,1.11,354.5,1,mom_spike
Stories Saida,July,7,5939826.44,4583857.48,4465001.29,1576019.51,0.873,0.86,348.84,1,mom_spike
Stories Saida,May,5,3010781.67,4583857.48,4465001.29,1576019.51,-0.86,-0.998,-52.67,1,mom_spike
Stories Lau,December,12,619603.6,1336974.4,1288268.79,576108.35,-0.809,-1.245,-47.22,1,mom_spike
Stories Lau,September,9,627849.85,1336974.4,1288268.79,576108.35,-0.799,-1.231,-62.7,1,mom_spike
Stories Verdun,May,5,1195236.33,2094699.57,1926558.6,903225.59,-0.776,-0.996,-43.22,1,mom_spike
Stories Bir Hasan,April,4,3459979.67,2863102.02,2989907.82,814063.25,0.759,0.733,52.69,1,mom_spike
Stories Antelias,March,3,3162716.67,2552435.74,2665503.59,687212.85,0.723,0.888,47.86,1,mom_spike
Stories Faqra,September,9,0.0,914782.79,795851.35,831464.08,-0.674,-1.1,-100.0,1,mom_spike
Stories Unknown,August,8,0.0,1158821.95,611845.0,1239579.77,-0.674,-0.935,-100.0,1,mom_spike
Stories Airport,July,7,2940003.01,3285689.8,1474215.92,3502265.86,0.671,-0.099,34780.32,1,mom_spike
Stories Centro Mall,April,4,3937166.67,3128476.49,3248535.44,966889.09,0.646,0.836,77.47,1,mom_spike
Stories Faqra,August,8,1535977.47,914782.79,795851.35,831464.08,0.627,0.747,218.64,1,mom_spike
Stories Ramlet El Bayda,July,7,7427539.62,4673724.16,5904160.08,2457615.2,0.625,1.121,413.75,1,mom_spike
Stories Bayada,March,3,5083386.67,4386961.54,4752864.27,1212894.31,0.487,0.574,48.68,1,mom_spike
Stories Lau,August,8,1683288.29,1336974.4,1288268.79,576108.35,0.478,0.601,60.28,1,mom_spike
Stories Antelias,July,7,2963696.71,2552435.74,2665503.59,687212.85,0.433,0.598,306.55,1,mom_spike
Stories Faqra,June,6,352083.33,914782.79,795851.35,831464.08,-0.376,-0.677,-68.27,1,mom_spike
Stories Unknown,June,6,923133.33,1158821.95,611845.0,1239579.77,0.343,-0.19,-54.4,1,mom_spike
Stories Unknown,July,7,300556.67,1158821.95,611845.0,1239579.77,-0.343,-0.692,-67.44,1,mom_spike
Stories Zalka,July,7,10265530.04,8997432.86,9829054.96,2339742.74,0.3,0.542,309.82,1,mom_spike
Stories Lau,July,7,1050186.19,1336974.4,1288268.79,576108.35,-0.288,-0.498,163.23,1,mom_spike
Stories Faqra,May,5,1109666.67,914782.79,795851.35,831464.08,0.266,0.234,-51.71,1,mom_spike
Stories Batroun,March,3,4890198.33,4506122.04,4631211.94,1400870.73,0.246,0.274,44.33,1,mom_spike
Stories Verdun,April,4,2105139.33,2094699.57,1926558.6,903225.59,0.19,0.012,46.57,1,mom_spike
Stories Lau,May,5,1206958.0,1336974.4,1288268.79,576108.35,-0.098,-0.226,-48.83,1,mom_spike
Stories Lau,October,10,1369579.58,1336974.4,1288268.79,576108.35,0.098,0.057,118.14,1,mom_spike
Stories Ramlet El Bayda,April,4,6011885.0,4673724.16,5904160.08,2457615.2,0.044,0.544,67.53,1,mom_spike
Stories Event Starco,August,8,3141.14,49776.03,0.0,161883.61,0.0,-0.288,241.83,1,mom_spike
Stories Event Starco,September,9,0.0,49776.03,0.0,161883.61,0.0,-0.307,-100.0,1,mom_spike
Stories Event Starco,December,12,586645.65,49776.03,0.0,161883.61,0.0,3.316,8779.68,1,std_z
Stories Jbeil,October,10,10218320.22,2263514.52,0.0,3595049.0,0.0,2.213,325.24,1,std_z
Stories Kaslik,December,12,1583014.42,235046.15,0.0,530289.07,0.0,2.542,27.92,1,std_z
Stories Raouche,December,12,2815825.84,379683.06,0.0,876919.57,0.0,2.778,61.79,1,std_z
Stories Sin El Fil,November,11,4122138.15,858210.46,0.0,1518137.21,0.0,2.15,57.04,1,std_z
Stories Ramlet El Bayda,January,1,0.0,4673724.16,5904160.08,2457615.2,-2.423,-1.902,,0,
Stories Airport,December,12,6604828.86,3285689.8,1474215.92,3502265.86,2.347,0.948,-6.04,0,
Stories Unknown,February,2,2527096.67,1158821.95,611845.0,1239579.77,2.111,1.104,15.39,0,
Stories Batroun,August,8,6751770.29,4506122.04,4631211.94,1400870.73,2.017,1.603,10.05,0,
Stories Bayada,February,2,3419106.67,4386961.54,4752864.27,1212894.31,-1.965,-0.798,-23.98,0,
Stories Unknown,March,3,2385366.67,1158821.95,611845.0,1239579.77,1.955,0.989,-5.61,0,
Stories Le Mall,December,12,5003540.55,3905876.38,4092973.89,1187671.13,1.872,0.924,25.59,0,
Stories Sour 2,August,8,5532578.53,1953484.13,1474169.96,2053575.92,1.857,1.743,22.83,0,
Stories Ramlet El Bayda,February,2,1570806.67,4673724.16,5904160.08,2457615.2,-1.778,-1.263,,0,
Stories Unknown,January,1,2190006.67,1158821.95,611845.0,1239579.77,1.74,0.832,,0,
Stories Ain El Mreisseh,April,4,13025923.33,9967738.5,10223378.57,2623565.47,1.701,1.166,32.24,0,
Stories Saida,January,1,7263332.33,4583857.48,4465001.29,1576019.51,1.656,1.7,,0,
Stories Verdun,August,8,3481408.42,2094699.57,1926558.6,903225.59,1.651,1.535,1.86,0,
Stories Ain El Mreisseh,January,1,12648546.67,9967738.5,10223378.57,2623565.47,1.472,1.022,,0,
Stories Bir Hasan,May,5,2125379.33,2863102.02,2989907.82,814063.25,-1.395,-0.906,-38.57,0,
Stories Sour 2,July,7,4504179.49,1953484.13,1474169.96,2053575.92,1.386,1.242,,0,
Stories Lau,April,4,2358631.33,1336974.4,1288268.79,576108.35,1.295,1.773,26.83,0,
Stories Bir Hasan,August,8,3783897.91,2863102.02,2989907.82,814063.25,1.281,1.131,-0.42,0,
Stories Aley,September,9,5397295.51,2541352.14,1869740.25,2793470.78,1.273,1.022,-36.99,0,
Stories Bayada,August,8,5613038.75,4386961.54,4752864.27,1212894.31,1.267,1.011,3.02,0,
Stories Batroun,February,2,3388117.33,4506122.04,4631211.94,1400870.73,-1.182,-0.798,-20.59,0,
Stories Bir Hasan,March,3,2266050.67,2863102.02,2989907.82,814063.25,-1.168,-0.733,-20.29,0,
Stories Sour 2,September,9,3970129.99,1953484.13,1474169.96,2053575.92,1.142,0.982,-28.24,0,
Stories Verdun,September,9,2989974.79,2094699.57,1926558.6,903225.59,1.129,0.991,-14.12,0,
Stories Saida,April,4,6361154.33,4583857.48,4465001.29,1576019.51,1.122,1.128,35.78,0,
Stories Antelias,April,4,3391741.33,2552435.74,2665503.59,687212.85,1.056,1.221,7.24,0,
Stories Khaldeh,April,4,8455732.0,7012967.67,7111228.85,2094655.92,1.036,0.689,31.69,0,
Stories Centro Mall,August,8,4307333.34,3128476.49,3248535.44,966889.09,0.993,1.219,2.52,0,
Stories Zalka,February,2,8417640.0,8997432.86,9829054.96,2339742.74,-0.97,-0.248,-19.44,0,
Stories Centro Mall,March,3,2218466.67,3128476.49,3248535.44,966889.09,-0.966,-0.941,-24.67,0,
Stories Aley,October,10,4503168.48,2541352.14,1869740.25,2793470.78,0.95,0.702,-16.57,0,
Stories Zalka,April,4,11182530.0,8997432.86,9829054.96,2339742.74,0.93,0.934,3.16,0,
Stories Faqra,January,1,1889910.0,914782.79,795851.35,831464.08,0.927,1.173,,0,
Stories Verdun,October,10,2764180.79,2094699.57,1926558.6,903225.59,0.889,0.741,-7.55,0,
Stories Faqra,February,2,1829960.0,914782.79,795851.35,831464.08,0.876,1.101,-3.17,0,
Stories Zalka,December,12,8566291.9,8997432.86,9829054.96,2339742.74,-0.868,-0.184,-3.5,0,
Stories Saida,August,8,5925560.98,4583857.48,4465001.29,1576019.51,0.864,0.851,-0.24,0,
Stories Aley,July,7,4219344.76,2541352.14,1869740.25,2793470.78,0.848,0.601,,0,
Stories Ain El Mreisseh,August,8,11610097.92,9967738.5,10223378.57,2623565.47,0.842,0.626,-2.35,0,
Stories Batroun,April,4,5516881.67,4506122.04,4631211.94,1400870.73,0.842,0.722,12.82,0,
Stories Sour 2,October,10,3313013.33,1953484.13,1474169.96,2053575.92,0.841,0.662,-16.55,0,
Stories Aley,November,11,4071091.3,2541352.14,1869740.25,2793470.78,0.794,0.548,-9.59,0,
Stories Sour 2,December,12,3173568.29,1953484.13,1474169.96,2053575.92,0.778,0.594,7.64,0,
Stories Khaldeh,February,2,6108429.33,7012967.67,7111228.85,2094655.92,-0.772,-0.432,-18.21,0,
Stories Antelias,February,2,2139010.67,2552435.74,2665503.59,687212.85,-0.765,-0.602,-18.23,0,
Stories Antelias,August,8,3182363.97,2552435.74,2665503.59,687212.85,0.751,0.917,7.38,0,
Stories Ramlet El Bayda,August,8,7668109.92,4673724.16,5904160.08,2457615.2,0.724,1.218,3.24,0,
Stories Centro Mall,December,12,3998663.08,3128476.49,3248535.44,966889.09,0.703,0.9,14.33,0,
Stories Bayada,October,10,5224336.34,4386961.54,4752864.27,1212894.31,0.695,0.69,6.24,0,
Stories Lau,February,2,1863050.33,1336974.4,1288268.79,576108.35,0.695,0.913,1.69,0,
Stories Zalka,March,3,10840106.67,8997432.86,9829054.96,2339742.74,0.695,0.788,28.78,0,
Stories Lau,March,3,1859610.67,1336974.4,1288268.79,576108.35,0.691,0.907,-0.18,0,
Stories Le Mall,April,4,4428620.0,3905876.38,4092973.89,1187671.13,0.69,0.44,4.92,0,
Stories Airport,January,1,0.0,3285689.8,1474215.92,3502265.86,-0.674,-0.938,,0,
Stories Airport,February,2,0.0,3285689.8,1474215.92,3502265.86,-0.674,-0.938,,0,
Stories Airport,March,3,0.0,3285689.8,1474215.92,3502265.86,-0.674,-0.938,,0,
Stories Airport,April,4,0.0,3285689.8,1474215.92,3502265.86,-0.674,-0.938,,0,
Stories Airport,May,5,0.0,3285689.8,1474215.92,3502265.86,-0.674,-0.938,,0,
Stories Aley,January,1,0.0,2541352.14,1869740.25,2793470.78,-0.674,-0.91,,0,
